Journal_ID,Source,Destination,Amount
400009726,0,1000000433,122055.120000
400009726,0,1000000434,5530586.510000
400009726,0,1000000741,772528.070000
400009726,3000000000,0,443766.000000
400009726,0,3000000051,909.000000
400009726,0,3000000059,9232621.910000
400009726,0,3000000060,13318323.810000
400009726,0,3000000061,6455041.760000
400009726,0,3000000062,818810.820000
400009726,0,2000000180,213182974.790000
400009726,0,2000000185,176407.940000
400009726,0,2000000338,13321.160000
400009726,0,2000000359,471492.780000
400009726,0,2000000362,70560.110000
400009726,0,2000000365,61493.770000
400009726,0,2000000411,337083.210000
400009726,2000000516,0,76208860.910000
400009726,0,2000000517,131353035.180000
400009726,5000000005,0,68413.830000
400009726,5000000005,0,854145.810000
400009726,5000000008,0,7330449.660000
400009726,0,5000000008,9446.630000
400009726,0,5000000008,19142.100000
400009726,5000000011,0,2334493.500000
400009726,5000000011,0,6000.000000
400009726,0,5000000143,517.680000
400009726,0,5000000143,521.780000
400009726,0,5000000143,63.900000
400009726,0,5000000143,629.700000
400009726,5000000229,0,1031642.490000
400009726,5000000488,0,6000.000000
400009726,0,5000000489,43562.100000
400009726,0,5000000489,911587.500000
400009726,0,5000000489,32647.500000
400009726,0,5000000489,81412.620000
400009726,5000000489,0,81955.350000
400009726,0,5000000489,156948.000000
400009726,0,5000000489,6885.000000
400009726,0,5000000489,93489.000000
400009726,0,5000000489,2020386.080000
400009726,0,5000000489,340699.310000
400009726,0,5000000489,4672.500000
400009726,0,5000000489,984.000000
400009726,0,5000000489,873586.500000
400009726,0,5000000489,2683737.000000
400009726,0,5000000489,270360.000000
400009726,0,5000000489,2728926.000000
400009726,0,5000000489,221839.500000
400009726,0,5000000489,542.730000
400009726,0,5000000489,1998.000000
400009726,5000000589,0,3216143.540000
400009726,5000001229,0,21000.000000
400009726,5000001229,0,142500.000000
400009726,5000001587,0,20040583.500000
400009726,5000001653,0,24999.990000
400009726,3000000135,0,46821278.550000
400009726,3000000135,0,63139669.500000
400009726,3000000135,0,4598059.500000
400009726,3000000135,0,45798170.460000
400009726,3000000170,0,772528.070000
400009726,3000000184,0,114097.500000
400009726,3000000184,0,21862.500000
400009726,3000000192,0,14185.710000
400009726,3000000193,0,412500.000000
400009726,3000000194,0,118434.890000
400009726,3000000194,0,227984.510000
400009726,3000000194,0,4512.590000
400009726,3000000194,0,93644.760000
400009726,3000000195,0,1590312.050000
400009726,3000000195,0,2195624.570000
400009726,3000000195,0,157499.970000
400009726,3000000195,0,1463145.200000
400009726,3000000196,0,31762.940000
400009726,3000000196,0,45395.390000
400009726,3000000196,0,802.500000
400009726,3000000196,0,38019.750000
400009726,3000000198,0,195000.000000
400009726,3000000198,0,198750.000000
400009726,3000000198,0,18750.000000
400009726,3000000198,0,195000.000000
400009726,0,3000000199,46442.340000
400009726,0,3000000199,80222.600000
400009726,0,3000000199,2089.170000
400009726,0,3000000199,54340.600000
400009726,3000000201,0,19440.000000
400009726,3000000201,0,2842649.630000
400009726,3000000201,0,357795.000000
400009726,3000000216,0,280745.630000
400009726,3000000216,0,602289.360000
400009726,3000000216,0,1427922.470000
400009726,3000000216,0,1438869.410000
400009726,3000000220,0,64820804.190000
400009726,3000000225,0,640835.660000
400009726,3000000232,0,1247904.000000
400009726,3000000232,0,1612303.500000
400009726,3000000232,0,132554.000000
400009726,3000000232,0,1288422.000000
400009726,1000003878,0,2975.330000
400009726,1000003878,0,120532.260000
400009726,0,1000003878,99196.310000
400009726,0,1000003878,30000.000000
400009726,0,1000003878,7500.000000
400009726,0,1000003878,92250.000000
400009726,0,1000003878,138000.000000
400009726,0,1000003878,330000.000000
400009726,0,1000003878,93000.000000
400009726,0,1000003878,15000.000000
400009726,0,1000003878,8147.490000
400009726,0,1000003878,2024331.940000
400009726,0,1000003878,14625.000000
400009726,0,2000000427,113.160000
400009726,2000000427,0,113.160000
400009726,2000000006,0,38542988.630000
